,id,course
0,913822,TECNOLOGIADAINFORMAÇÃO
1,957374,CIÊNCIADOSDADOS
2,977176,MATEMÁTICA
3,977482,CIÊNCIADOSDADOS
4,940204,CIÊNCIADOSDADOS
5,952388,PEDAGOGIA
6,971401,CIÊNCIASSOCIAIS
7,980494,HISTÓRIA
8,959359,ADMINISTRAÇÃO
9,978427,FÍSICA
10,969818,CIÊNCIADOSDADOS
11,976359,PROCESSOSGERENCIAIS
12,961233,TECNOLOGIADAINFORMAÇÃO
13,955063,ADMINISTRAÇÃO
14,975657,GESTÃODESERVIÇOSJURÍDICOSENOTARIAIS
15,955069,ENGENHARIADEPRODUÇÃO
16,972662,CIÊNCIASCONTÁBEIS
17,976144,HISTÓRIA
18,947142,ENGENHARIADEALIMENTOS
19,911119,AUDIOVISUAL
20,939492,EDUCAÇÃOFÍSICA
21,969112,ENGENHARIAFLORESTAL
22,979308,HISTÓRIA
23,924604,LETRAS
24,911114,GESTÃODERECURSOSHUMANOS
25,979327,LETRAS
26,966581,LETRAS
27,979598,HISTÓRIA
28,957691,PEDAGOGIA
29,966797,ADMINISTRAÇÃO
30,972014,GESTÃODEMÍDIASSOCIAISDIGITAIS
31,969081,GESTÃODEMÍDIASSOCIAISDIGITAIS
32,980168,PEDAGOGIA
33,954553,GESTÃODEMÍDIASSOCIAISDIGITAIS
34,923140,PEDAGOGIA
35,979303,LETRAS
36,953639,ENGENHARIADEPRODUÇÃO
37,972326,HISTÓRIA
38,977291,CIÊNCIADOSDADOS
39,978962,CIÊNCIADOSDADOS
40,960033,ENGENHARIAELÉTRICA
41,910925,PEDAGOGIA
42,966087,MATEMÁTICA
43,912369,CIÊNCIASCONTÁBEIS
44,911136,CIÊNCIASCONTÁBEIS
45,919068,ENFERMAGEM
46,945103,TURISMO
47,909795,GESTÃODESERVIÇOSJURÍDICOSENOTARIAIS
48,927532,PROCESSOSGERENCIAIS
49,928800,HISTÓRIA
50,981248,GESTÃODEMÍDIASSOCIAISDIGITAIS
51,961956,GESTÃODESERVIÇOSJURÍDICOSENOTARIAIS
52,967625,GESTÃODERECURSOSHUMANOS
53,980016,TECNOLOGIADAINFORMAÇÃO
54,922243,FÍSICA
